Back,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.4,,,,,,,,,,,,SDG3,,SDG4.3,,SDG4.4,,SDG8.5,,,,
49,Montenegro,0.119,,32,,6,,10.4,,24.7,,92.3,c,99.2,c,47.8,,62.0,,,0.832,,76.3,,15.1,,12.2,e,"20,839",,16,,52,
50,Kuwait,0.305,,74,,12,,5.6,,1.5,,60.9,c,55.2,c,47.4,,83.8,,,0.831,,78.7,,15.3,e,7.3,e,"52,920",,-32,,54,
51,Brunei Darussalam,0.259,,61,,31,,10.0,,9.1,,70.4,,71.2,,54.1,,72.3,,,0.829,,74.6,,14.0,,9.2,,"64,490",,-42,,49,
52,Russian Federation,0.203,,50,,17,,15.0,,16.5,,92.8,e,95.9,e,54.5,,69.7,,,0.822,,69.4,,15.8,,12.8,i,"27,166",,-1,,49,
53,Romania,0.282,,67,,19,,36.4,,18.5,,88.8,,93.7,,42.8,,62.3,,,0.821,,74.2,,14.2,,11.3,,"30,027",,-4,,53,
54,Oman,0.300,,72,,19,,9.9,,9.9,,96.6,,99.9,,28.7,,85.0,,,0.816,,72.5,,14.6,,11.7,,"27,054",,-2,,51,
55,Bahamas,0.329,,78,,70,,25.7,,20.0,,87.0,c,89.9,c,65.6,,71.5,,,0.812,,71.6,,12.9,l,12.6,e,"30,486",,-8,,58,
56,Kazakhstan,0.161,,41,,10,,21.9,,24.5,,99.8,c,100.0,c,63.3,,75.5,,,0.811,,69.4,,15.8,,12.3,e,"23,943",,1,,59,
57,Trinidad and Tobago,0.344,,81,,67,,38.1,,32.4,,84.8,d,80.6,d,46.7,,68.0,,,0.810,,73.0,,14.5,m,11.6,e,"23,392",,1,,56,
58,Costa Rica,0.256,,60,,27,,37.1,,45.6,,56.2,,54.5,,47.5,,71.1,,,0.809,,77.0,,16.5,,8.8,,"19,974",,8,,57,
58,Uruguay,0.235,,58,,17,,36.2,,26.2,,59.6,,55.5,,54.8,,69.3,,,0.809,,75.4,,16.8,,9.0,,"21,269",,5,,55,
60,Belarus,0.104,,29,,2,,11.9,,34.7,,97.5,,99.0,,57.3,,71.4,,,0.808,,72.4,,15.2,,12.1,,"18,849",,8,,60,
61,Panama,0.392,,96,,52,,69.9,,22.5,,70.2,,68.7,,50.4,,72.6,,,0.805,,76.2,,13.1,e,10.5,,"26,957",,-8,,67,
62,Malaysia,0.228,,57,,29,,9.3,,14.9,,75.0,,78.4,,51.2,,77.6,,,0.803,,74.9,,13.3,,10.6,,"26,658",,-8,,61,
63,Georgia,0.280,,66,,25,,31.7,,19.3,,97.1,,98.3,,51.0,,68.0,,,0.802,,71.7,,15.6,,12.8,,"14,664",,17,,64,
63,Mauritius,0.347,,82,,61,,24.6,,20.0,,64.4,c,70.8,c,43.4,,70.4,,,0.802,,73.6,,15.2,e,10.4,e,"22,025",,-1,,62,
63,Serbia,0.131,,36,,12,,14.9,,39.2,,88.6,,95.3,,46.6,,62.3,,,0.802,,74.2,,14.4,,11.4,,"19,123",,4,,62,
66,Thailand,0.333,,79,,37,,32.7,,13.9,,47.6,,51.7,,59.0,,75.0,,,0.800,,78.7,,15.9,m,8.7,,"17,030",,6,,64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Albania,0.144,,39,,15,,14.5,,35.7,,95.4,f,93.0,d,50.7,,66.2,,Albania,0.796,,76.5,,14.4,,11.3,e,"14,131",,17,,68,
68,Bulgaria,0.210,,52,,10,,38.6,,23.8,,94.9,,96.5,,49.1,,62.6,,Bulgaria,0.795,,71.8,,13.9,,11.4,,"23,079",,-8,,64,
68,Grenada,..,,..,,25,,32.7,,32.1,,..,,..,,..,,..,,Grenada,0.795,,74.9,,18.7,"c,e",9.0,l,"13,484",,18,,70,
70,Barbados,0.268,,64,,27,,42.3,,29.4,,95.4,d,86.0,d,56.1,,63.7,,Barbados,0.790,,77.6,,15.7,e,9.9,n,"12,306",,26,,71,
71,Antigua and Barbuda,..,,..,,42,,33.1,,31.4,,..,,..,,..,,..,,Antigua and Barbuda,0.788,,78.5,,14.2,e,9.3,j,"16,792",,2,,71,
72,Seychelles,..,,..,,53,,53.4,,22.9,,..,,..,,..,,..,,Seychelles,0.785,,71.3,,13.9,,10.3,,"25,831",,-17,,69,
73,Sri Lanka,0.383,,92,,36,,15.7,,5.4,,84.0,,84.2,,30.9,,68.5,,Sri Lanka,0.782,,76.4,,14.1,e,10.8,,"12,578",,21,,75,
74,Bosnia and Herzegovina,0.136,,38,,10,,9.9,,24.6,,82.7,,94.0,,32.3,,52.4,,Bosnia and Herzegovina,0.780,,75.3,,13.8,j,10.5,,"15,242",,4,,73,
75,Saint Kitts and Nevis,..,,..,,..,,38.2,,25.0,,..,,..,,..,,..,,Saint Kitts and Nevis,0.777,,71.7,,15.4,e,8.7,l,"23,358",,-16,,76,
76,Iran (Islamic Republic of),0.459,,115,,16,,30.2,,5.6,,71.6,c,76.0,c,14.4,,68.1,,Iran (Islamic Republic of),0.774,,73.9,,14.6,,10.6,e,"13,001",,15,,77,
77,Ukraine,0.200,,49,,19,,15.6,,20.8,,96.2,d,95.8,f,48.1,,63.6,,Ukraine,0.773,,71.6,,15.0,e,11.1,n,"13,256",,11,,78,
78,North Macedonia,0.134,,37,,7,,16.4,,41.7,,61.9,,75.1,,42.4,,63.4,,North Macedonia,0.770,,73.8,,13.6,e,10.2,,"15,918",,-3,,79,
79,China,0.192,,48,,29,,11.0,,24.9,,78.3,d,85.4,d,61.6,,74.3,,China,0.768,,78.2,,14.2,e,7.6,n,"17,504",,-8,,82,
80,Dominican Republic,0.429,,106,,95,,65.6,,25.7,,77.4,c,76.9,c,49.6,,75.2,,Dominican Republic,0.767,,72.6,,14.5,e,9.3,o,"17,990",,-11,,82,
80,Moldova (Republic of),0.205,,51,,19,,27.8,,39.6,,96.1,,98.0,,33.9,,43.9,,Moldova (Republic of),0.767,,68.8,,14.4,,11.8,,"14,875",,-1,,81,
80,Palau,..,,..,,..,,42.5,,6.9,,96.9,,97.3,,..,,..,,Palau,0.767,,66.0,,15.8,e,12.5,p,"13,819",,5,,80,
83,Cuba,0.303,,73,,36,,48.8,,53.4,,89.5,c,91.9,c,40.3,,68.5,,Cuba,0.764,,73.7,,14.4,,12.5,e,"7,879",q,37,,73,
84,Peru,0.380,,90,,88,,56.8,,40.0,,59.3,c,69.9,c,66.1,,81.9,,Peru,0.762,,72.4,,15.4,e,9.9,e,"12,246",,13,,85,
85,Armenia,0.216,,53,,26,,18.5,,33.6,,96.0,,97.1,,42.7,,63.0,,Armenia,0.759,,72.0,,13.1,,11.3,,"13,158",,4,,87,
86,Mexico,0.309,,75,,33,,54.4,,49.8,,65.1,,66.7,,43.8,,75.4,,Mexico,0.758,,70.2,,14.9,,9.2,,"17,896",,-16,,88,
87,Brazil,0.390,,94,,60,,45.2,,14.8,,62.4,c,59.1,c,49.1,,68.2,,Brazil,0.754,,72.8,,15.6,,8.1,e,"14,370",,-5,,86,
88,Colombia,0.424,,102,,83,,59.0,,19.6,,58.9,,56.5,,52.2,,78.0,,Colombia,0.752,,72.8,,14.4,,8.9,,"14,384",,-7,,88,
89,Saint Vincent and the Grenadines,0.390,,94,,68,,47.9,,18.2,,44.1,,39.6,,52.9,,74.1,,Saint Vincent and the Grenadines,0.751,,69.6,,14.7,e,10.8,,"11,961",,11,,82,
90,Maldives,0.348,,83,,53,,7.3,,4.6,,46.4,d,41.5,d,34.3,,67.5,,Maldives,0.747,,79.9,,12.6,,7.3,,"15,448",,-14,,97,
91,Algeria,0.499,,126,,112,,11.7,,7.5,,46.0,c,56.9,c,15.7,,64.5,,Algeria,0.745,,76.4,,14.6,m,8.1,e,"10,800",,13,,96,
91,Azerbaijan,0.294,,70,,26,,40.1,,18.2,,93.6,,97.6,,60.4,,67.3,,Azerbaijan,0.745,,69.4,,13.5,,10.5,,"14,257",,-8,,100,
91,Tonga,0.631,,160,,52,,19.0,,0.0,g,93.5,d,93.1,d,37.3,,55.3,,Tonga,0.745,,71.0,,16.0,,11.4,n,"6,822",,34,,90,
91,Turkmenistan,0.177,,43,,7,,21.8,,25.0,,93.5,,92.2,,36.5,,55.6,,Turkmenistan,0.745,,69.3,,13.2,,11.3,,"13,021",,-1,,93,
95,Ecuador,0.362,,85,,59,,63.2,,39.4,,53.0,,52.0,,53.3,,76.5,,Ecuador,0.740,,73.7,,14.6,,8.8,,"10,312",,11,,99,
96,Mongolia,0.313,,76,,45,,26.7,,17.1,,79.3,,73.0,,51.5,,66.6,,Mongolia,0.739,,71.0,,15.0,,9.4,,"10,588",,9,,90,
97,Egypt,0.443,,109,,37,,44.8,,22.9,,81.6,c,76.6,c,15.4,,67.1,,Egypt,0.731,,70.2,,13.8,e,9.6,e,"11,732",,4,,97,
97,Tunisia,0.259,,61,,43,,6.7,,26.3,,42.9,c,51.8,c,25.5,,67.2,,Tunisia,0.731,,73.8,,15.4,e,7.4,e,"10,258",,10,,94,
99,Fiji,0.318,,77,,34,,26.8,,21.6,,90.2,d,87.9,d,37.7,,75.3,,Fiji,0.730,,67.1,,14.7,e,10.9,e,"9,980",,9,,94,
99,Suriname,0.427,,105,,120,,56.1,,29.4,,69.9,h,70.7,h,43.4,,65.1,,Suriname,0.730,,70.3,,13.0,m,9.8,m,"12,672",,-6,,92,
101,Uzbekistan,0.227,,56,,29,,15.9,,28.7,,99.9,,100.0,,44.9,,70.9,,Uzbekistan,0.727,,70.9,,12.5,,11.9,,"7,917",,18,,107,
102,Dominica,..,,..,,..,,38.5,,34.4,,..,,..,,..,,..,,Dominica,0.720,,72.8,,13.3,e,8.1,j,"11,488",,0,,106,
102,Jordan,0.471,,118,,46,,25.4,,11.8,,77.4,,84.2,,13.5,,62.3,,Jordan,0.720,,74.3,,10.6,,10.4,,"9,924",,8,,104,
104,Libya,0.259,,61,,72,,6.9,,16.0,,70.5,i,45.1,i,34.1,,61.0,,Libya,0.718,,71.9,,12.9,l,7.6,r,"15,336",,-27,,117,
105,Paraguay,0.445,,111,,84,,70.3,,16.8,,52.5,,54.0,,59.6,,84.2,,Paraguay,0.717,,70.3,,13.0,o,8.9,,"12,349",,-10,,100,
106,"Palestine, State of",..,,..,,27,,43.5,,..,,67.9,,67.6,,16.7,,66.3,,"Palestine, State of",0.715,,73.5,,13.4,,9.9,,"6,583",,21,,109,
106,Saint Lucia,0.381,,91,,117,,36.9,,24.1,,49.9,,43.8,,63.2,,73.2,,Saint Lucia,0.715,,71.1,,12.9,,8.5,,"12,048",,-7,,104,
108,Guyana,0.454,,114,,169,,66.6,,35.7,,69.5,,62.2,,40.3,,64.1,,Guyana,0.714,,65.7,,12.5,e,8.6,,"22,465",,-47,,107,
109,South Africa,0.405,,97,,119,,61.2,,46.0,j,68.9,,87.7,,46.2,,59.9,,South Africa,0.713,,62.3,,13.6,,11.4,,"12,948",,-17,,102,
110,Jamaica,0.335,,80,,80,,32.8,,31.0,,74.3,d,66.4,d,56.1,,70.0,,Jamaica,0.709,,70.5,,13.4,m,9.2,e,"8,834",,4,,110,
111,Samoa,0.418,,99,,43,,43.6,,7.8,,79.1,k,71.6,k,30.7,,54.2,,Samoa,0.707,,72.8,,12.4,,11.4,,"5,308",,24,,112,
112,Gabon,0.541,,140,,252,,91.2,,18.7,,67.2,l,84.0,l,39.1,,57.0,,Gabon,0.706,,65.8,,13.0,l,9.4,,"13,367",,-25,,113,
112,Lebanon,0.432,,108,,29,,20.3,,4.7,,54.3,k,55.6,k,20.8,,64.3,,Lebanon,0.706,,75.0,,11.3,p,8.7,l,"9,526",,-1,,103,
114,Indonesia,0.444,,110,,177,,33.9,,21.0,,51.0,,58.2,,53.7,,81.7,,Indonesia,0.705,,67.6,,13.7,e,8.6,,"11,466",,-11,,116,
115,Viet Nam,0.296,,71,,43,,34.6,,30.3,,61.3,,69.6,,69.6,,79.4,,Viet Nam,0.703,,73.6,,13.0,s,8.4,,"7,867",,6,,113,
,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,MEDIUM HUMAN DEVELOPMENT,,,,,,,,,,,,,,
116,Philippines,0.419,,101,,121,,48.2,,28.0,,73.4,,69.1,,43.8,,68.3,,Philippines,0.699,,69.3,,13.1,,9.0,,"8,920",,-3,,113,
117,Botswana,0.468,,117,,144,,49.3,,10.8,,91.3,,91.8,,56.3,,65.1,,Botswana,0.693,,61.1,,12.3,e,10.3,,"16,198",,-43,,110,
118,Bolivia (Plurinational State of),0.418,,99,,155,,63.8,,48.2,,60.1,,69.7,,68.3,,83.8,,Bolivia (Plurinational State of),0.692,,63.6,,14.9,,9.8,,"8,111",,0,,119,
118,Kyrgyzstan,0.370,,87,,60,,34.7,,20.5,,100.0,d,99.8,d,42.1,,71.7,,Kyrgyzstan,0.692,,70.0,,13.2,,11.4,n,"4,566",,26,,121,
120,Venezuela (Bolivarian Republic of),0.492,,123,,125,,82.7,,22.2,,79.8,d,75.4,d,34.3,,67.8,,Venezuela (Bolivarian Republic of),0.691,,70.6,,12.8,p,11.1,e,"4,811",t,20,,118,
121,Iraq,0.558,,145,,79,,62.2,,28.9,,42.0,h,52.9,h,11.1,,71.8,,Iraq,0.686,,70.4,,12.1,s,7.9,m,"9,977",,-12,,122,
122,Tajikistan,0.285,,68,,17,,45.4,,23.4,,93.5,d,94.6,d,30.2,,50.5,,Tajikistan,0.685,,71.6,,11.7,e,11.3,n,"4,548",,23,,126,
123,Belize,0.364,,86,,36,,57.1,,19.6,,54.5,,49.8,,46.9,,76.8,,Belize,0.683,,70.5,,13.0,,8.8,,"6,309",,6,,120,
123,Morocco,0.425,,104,,70,,25.9,,20.4,,30.9,,37.1,,22.0,,66.0,,Morocco,0.683,,74.0,,14.2,,5.9,,"7,303",,1,,122,
125,El Salvador,0.376,,88,,46,,55.9,,27.4,,42.7,,51.4,,43.6,,72.6,,El Salvador,0.675,,70.7,,12.7,o,7.2,,"8,296",,-8,,124,
126,Nicaragua,0.424,,102,,98,,85.6,,50.5,,51.2,,49.7,,46.8,,81.3,,Nicaragua,0.667,,73.8,,12.6,o,7.1,,"5,625",,6,,129,
127,Bhutan,0.415,,98,,183,,19.0,,16.7,,23.6,,32.3,,51.6,,67.4,,Bhutan,0.666,,71.8,,13.2,e,5.2,e,"9,438",,-15,,125,
128,Cabo Verde,0.349,,84,,58,,55.2,,38.9,,28.8,m,31.2,m,46.9,,61.7,,Cabo Verde,0.662,,74.1,,12.6,e,6.3,p,"6,230",,2,,127,
129,Bangladesh,0.530,,131,,173,,75.5,,20.9,,50.6,,58.5,,34.9,,78.8,,Bangladesh,0.661,,72.4,,12.4,,7.4,,"5,472",,4,,128,
130,Tuvalu,..,,..,,..,,33.1,,6.3,,60.0,,60.7,,..,,..,,Tuvalu,0.641,,64.5,,9.4,e,10.6,,"6,351",,-2,,131,
131,Marshall Islands,..,,..,,..,,58.0,,6.1,,91.6,,92.5,,..,,..,,Marshall Islands,0.639,,65.3,,10.2,,10.9,,"4,620",,12,,131,
132,India,0.490,,122,,133,n,17.2,,13.4,,41.8,d,53.8,d,19.2,,70.1,,India,0.633,,67.2,,11.9,,6.7,n,"6,590",,-6,,130,
133,Ghana,0.529,,130,,308,,64.2,,14.5,,58.0,d,73.2,d,64.5,,72.2,,Ghana,0.632,,63.8,,12.0,,8.3,n,"5,745",,-2,,135,
134,Micronesia (Federated States of),..,,..,,88,,35.8,,7.1,,..,,..,,..,,..,,Micronesia (Federated States of),0.628,,70.7,,11.5,j,7.8,l,"3,696",,22,,136,
135,Guatemala,0.481,,121,,95,,64.1,,19.4,,29.5,,35.8,,37.4,,80.3,,Guatemala,0.627,,69.2,,10.6,,5.7,,"8,723",,-20,,133,
136,Kiribati,..,,..,,92,,40.5,,6.7,,..,,..,,..,,..,,Kiribati,0.624,,67.4,,11.8,,8.0,s,"4,063",,14,,137,
137,Honduras,0.431,,107,,65,,72.0,,27.3,,35.8,,44.8,,42.3,,78.9,,Honduras,0.621,,70.1,,10.1,o,7.1,,"5,298",,-1,,138,
138,Sao Tome and Principe,0.494,,124,,130,,79.4,,23.6,,39.9,h,48.4,h,37.1,,69.9,,Sao Tome and Principe,0.618,,67.6,,13.4,,6.2,m,"4,021",,13,,139,
139,Namibia,0.445,,111,,195,,64.9,,35.6,,41.5,d,44.1,d,54.5,,62.2,,Namibia,0.615,,59.3,,11.9,u,7.2,n,"8,634",,-23,,134,
140,Lao People's Democratic Republic,0.478,,120,,185,,73.2,,22.0,,37.7,,47.7,,74.8,,78.1,,Lao People's Democratic Republic,0.607,,68.1,,10.1,,5.4,,"7,700",,-18,,142,
140,Timor-Leste,0.378,,89,,142,,33.9,,38.5,,33.7,,41.8,,61.0,,72.2,,Timor-Leste,0.607,,67.7,,12.6,p,5.4,,"4,461",,7,,140,
140,Vanuatu,..,,..,,72,,64.1,,0.0,g,..,,..,,59.7,,78.0,,Vanuatu,0.607,,70.4,,11.5,e,7.1,v,"3,085",,23,,142,
143,Nepal,0.452,,113,,186,,63.8,,33.6,,28.8,d,44.7,d,78.7,,80.8,,Nepal,0.602,,68.4,,12.9,,5.1,n,"3,877",,10,,144,
144,Eswatini (Kingdom of),0.540,,138,,437,,69.9,,18.4,,34.0,,36.2,,45.6,,53.6,,Eswatini (Kingdom of),0.597,,57.1,,13.7,e,5.6,,"7,679",,-21,,141,
145,Equatorial Guinea,..,,..,,301,,139.7,,20.3,,..,,..,,49.9,,58.5,,Equatorial Guinea,0.596,,60.6,,9.7,l,5.9,j,"12,074",,-47,,147,
146,Cambodia,0.461,,116,,160,,45.5,,19.8,,18.3,,31.7,,74.0,,85.9,,Cambodia,0.593,,69.6,,11.5,w,5.1,,"4,079",,3,,148,
146,Zimbabwe,0.532,,134,,458,,94.3,,34.6,,61.8,c,72.4,c,79.3,,88.9,,Zimbabwe,0.593,,59.3,,12.1,e,8.7,e,"3,810",,9,,145,
148,Angola,0.537,,136,,241,,138.4,,29.5,,28.2,,51.5,,74.0,,79.1,,Angola,0.586,,61.6,,12.2,,5.4,,"5,466",,-14,,149,
149,Myanmar,0.498,,125,,250,,33.0,,15.0,,38.5,,47.8,,41.0,,70.0,,Myanmar,0.585,,65.7,,10.9,e,6.4,,"3,851",,5,,145,
150,Syrian Arab Republic,0.477,,119,,31,,38.7,,11.2,,37.1,o,43.4,o,15.7,,70.8,,Syrian Arab Republic,0.577,,72.1,,9.2,,5.1,l,"4,192",x,-2,,152,
